building,pareto_index
B302021382,6
B302021383,6
B302021384,6
B302021385,6
B302021386,6
B302021387,6
B302021388,6
B302021397,6
B302021398,5
B302021399,5
B302021400,5
B302021676,5
B302021677,5
B302022048,6
B302022106,6
B302022192,6
B302022561,6
B302022562,6
B302022773,6
B302022774,6
B302022775,6
B302022778,6
B302022779,6
B302022780,6
B302022781,6
B302022782,6
B302022783,6
B302022784,6
B302023109,6
B302024517,6
B302024523,5
B302024524,5
B302030218,6
B302030219,6
B302030220,6
B302030227,6
B302030228,6
B302030229,6
B302030230,6
B302030231,6
B302030232,6
B302030797,6
B302030798,6
B302030799,6
B302030800,6
B302030801,6
B302030802,6
B302030805,6
B302030807,6
B302030808,6
B302030809,6
B302030810,6
B302030811,6
B302030812,6
B302030813,6
B302030817,6
B302030818,6
B302030819,6
B302030820,6
B302030821,6
B302030823,6
B302030824,6
B302030825,6
B302030826,4
B302030827,6
B302030828,6
B302030829,6
B302030830,6
B302031593,6
B302031664,6
B302031665,6
B302031666,6
B302031667,6
B302031668,6
B302031669,6
B302031670,6
B302032606,6
B302034055,6
B302034056,6
B302034067,6
B302034130,6
B302034131,6
B302034254,6
B302034550,6
B302034551,6
B302034618,6
B302034627,6
B302034629,5
B302034645,6
B302034724,6
B302060103,6
B302060151,6
B302060367,5
B302060377,6
B302060720,6
B302060786,6
B302061111,6
B302061266,6
B302061468,6
B302061470,6
B302061536,6
B302061650,6
B302061814,6
B302061940,6
B302061968,6
B302061982,6
B302062012,6
B302062013,6
B302062014,6
B302062015,6
B302062016,6
B302062017,6
B302062018,6
B302062020,6
B302062021,6
B302062022,6
B302062023,5
B302062024,6
B302062025,5
B302062027,6
B302062028,6
B302062029,6
B302062186,6
B302062187,6
B302062193,6
B302062268,6
B302062340,5
B302062589,6
B302062590,6
B302062610,6
B302062751,6
B302062983,6
B302063197,6
B302063198,6
B302063229,6
B302063230,6
B302063413,6
B302063598,6
B302063645,6
B302063700,5
B302063706,6
B302063821,5
B302063983,6
B302064015,6
B302064016,6
B302064073,6
B302064074,6
B302064134,6
B302064178,6
B302064458,6
B302064527,6
B302064528,6
B302064529,6
B302064671,6
B302064710,6
B302064714,6
B302064724,6
B302064811,6
B302064895,6
B302064955,6
B302064987,6
B302064988,6
B302065049,6
B302065050,6
B302065241,6
B302065315,6
B3169354,4
B3169355,5
B3169356,5
B3169365,5
B3169387,4
B3169393,3
B3169397,6
B3169399,5
B3169400,5
B3169633,3
B3169634,5
B3169635,3
B3169636,6
B3169638,6
B3169845,6
B3169846,6
B3169847,6
B3169850,0
B3169851,6
B3169852,6
B3169854,5
B3170016,6
B3170017,6
B3170018,3
B3170019,6
B3170145,5
B3170149,6
B3170174,4
B3170175,5
B9001329,5
B9001373,6
B9001388,5
B9001709,4
B9001718,2
B9011517,5
B9083815,6
B9083845,6
